site,area,country,lat,long
Wolfgang Köhler Primate Research Center,Leipzig,Germany,51.348537,12.3716514
Lincoln Park Zoo,"Chicago, IL",USA,41.9210919,-87.6339909
Kumamoto Sanctuary,Kumamoto,Japan,32.6408466,130.4824801
German Primate Center,Göttingen,Germany,51.5609703,9.9528945
Edinburgh Zoo,Edinburgh,UK,55.942326,-3.267318
Kristiansand Zoo,Kristiansand,Norway,58.1856575,8.144123
Monkey Haven,Isle of Wight,UK,50.705786,-1.262753
Language Research Center,"Atlanta, GA",USA,33.753068,-84.3852819
Ape Cognition & Conservation Initiative,"Des Moines, IA",USA,41.545615,-93.532313
Duke Lemur Center,"Durham, NC",USA,35.9941971,-78.9623365
Duisburg Zoo,Duisburg,Germany,51.436622,6.806439
Franklin and Marshall College,"Lancaster, PA",USA,40.048805,-76.319933
Centre de Primatologie de l'Université de Strasbourg,Strasbourg,France,48.627198,7.692843
Gibbon Conservation Center,"Santa Clarita, CA",USA,34.466317,-118.46821
Beijing Zoo,Beijing,China,39.939127,116.339593
Apenheul Primate Park,Apeldoorn,Netherlands,52.215561,5.918901
Southwest National Primate Center,"San Antonio, TX",USA,29.440235,-98.63879
University of Vienna,Vienna,Austria,48.213032,16.360098
Zurich Zoo,Zurich,Switzerland,47.387124,8.574788
Lund University Primate Research Station,Lund,Sweden,60.652277,17.336485
Zoo Lodz,Lodz,Poland,51.76384,19.412702
Grastyan Translational Research Center,Pecs,Hungary,46.07429440124008,18.237732733249253
Heidelberg Zoo,Heidelberg,Germany,49.415215749476054,8.663905603695477
Bioparc Doué-la-Fontaine,Doué-la-Fontaine,France,47.190754395552936,-0.2995081780136185
Wuhan Zoo,Wuhan,China,30.54500548423754,114.24513343292655
East China Normal University,Shanghai,China,31.22785962557395,121.40681827540476
Zoo de Lagos,Lagos,Portugal,37.20184722063758,-8.76037012635806
Paris Zoo,Paris,France,48.834291816473836,2.4171897985150403
