model,waic,se_waic,waic_weight,looic,se_looic,loo_weight
base_model,14139.6280663808,87.1116696538544,0.28,14140.8997777074,87.1231588557228,0.28
vocal_repertoire_model,14139.799207047,87.1659326861382,0.26,14141.10756048,87.1780841341403,0.25
dietary_breadth_model,14140.4776371586,87.1566987285265,0.18,14141.7279627659,87.1680536910869,0.19
group_size_model,14142.4179229407,87.1687384766331,0.07,14143.7129811792,87.1808505803043,0.07
diurnal_resting_model,14142.5699108087,87.2069103582139,0.06,14143.8426637677,87.2183827009687,0.06
day_journey_group_size_model,14142.9314544534,87.3492412717023,0.05,14144.2316137135,87.3611035309696,0.05
color_vision_model,14143.8191307904,87.2173825580173,0.03,14145.1075646534,87.229219498156,0.03
frugivory_terrestriality_model,14144.7849703311,87.3103146880953,0.02,14146.0862316733,87.322591108006,0.02
home_range_feeding_budget_diet_breath_model,14144.8015711661,87.3065633521392,0.02,14146.1069305546,87.3189118815013,0.02
diet_diversity_model,14145.6416299828,87.4198747700305,0.01,14146.9840065145,87.4322113022724,0.01
